No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
67,BBCA,Bank Central Asia Tbk.,XDS8B3O1,33425,33475,02 Jan 2020,33475,33900,33400,33450,25,9889000,330952265000,5388,19114.3,33450,1318500,33425.0,1927900,24408459900.0,24408459900.0,24408459900.0,2010800,7649600,1997003.0,66802297950.0,28
67,BBCA,Bank Central Asia Tbk.,--S8B3O1,33450,33750,03 Jan 2020,33750,34000,33625,34000,550,9551100,323890197500,7711,19428.6,34000,2652400,33975.0,2400,24408459900.0,24408459900.0,24408459900.0,3489600,8407100,256740.0,8586094399.0,13
67,BBCA,Bank Central Asia Tbk.,--S8B3O1,34000,33600,06 Jan 2020,33625,33750,33450,33675,-325,5460000,183597080000,5814,19242.9,33700,4100,33675.0,1512200,24408459900.0,24408459900.0,24408459900.0,3618900,2005800,184031.0,6231968306.0,23
67,BBCA,Bank Central Asia Tbk.,--S8B3O1,33675,33675,07 Jan 2020,33675,33850,33650,33700,25,9004500,303482512500,5819,19257.1,33700,1228000,33675.0,4100,24408459900.0,24408459900.0,24408459900.0,6169500,4869800,367040.0,12358017050.0,21
67,BBCA,Bank Central Asia Tbk.,--S8B3O1,33700,33350,08 Jan 2020,33375,33725,33350,33400,-300,10738500,360614215000,5318,19085.7,33500,1800,33400.0,1054100,24408459900.0,24408459900.0,24408459900.0,9179200,3535700,2333572.0,78607581208.0,43
68,BBCA,Bank Central Asia Tbk.,--S8B3O1,33400,33700,09 Jan 2020,33650,33775,33650,33700,300,8072700,272004105000,6122,19257.1,33700,944800,33675.0,1332100,24408459900.0,24408459900.0,24408459900.0,4264200,5789900,3637750.0,122306689125.0,17
68,BBCA,Bank Central Asia Tbk.,--S8B3O1,33700,33825,10 Jan 2020,33825,34125,33550,33625,-75,14672400,494479322500,6131,19214.3,33675,32000,33625.0,4218700,24408459900.0,24408459900.0,24408459900.0,11239400,7916900,427521.0,14404146867.0,26
68,BBCA,Bank Central Asia Tbk.,--S8B3O1,33625,33700,13 Jan 2020,33675,33800,33675,33725,100,13571000,457401000000,5265,19271.4,33725,1941700,33700.0,44000,24408459900.0,24408459900.0,24408459900.0,7249600,9903700,181190.0,6116309700.0,21
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,33725,33725,14 Jan 2020,33725,34425,33700,34350,625,18716400,637646440000,9144,19628.6,34350,1146500,34325.0,2900,24408459900.0,24408459900.0,24408459900.0,5342400,17090100,7982872.0,270509719125.0,32
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,34350,34350,15 Jan 2020,34375,35300,34000,34175,-175,15124700,522165815000,11348,19528.6,34200,23400,34175.0,2460400,24408459900.0,24408459900.0,24408459900.0,8756200,10130900,1417125.0,48270066450.0,39
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,34175,34025,16 Jan 2020,34025,34450,33975,34250,75,17786300,608505872500,9004,19571.4,34250,126500,34225.0,900,24408459900.0,24408459900.0,24408459900.0,10400400,8700300,2624406.0,90481770486.0,29
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,34175,34025,16 Jan 2020,34025,34450,33975,34250,75,17786300,608505872500,9004,19571.4,34250,126500,34225.0,900,24408459900.0,24408459900.0,24408459900.0,10400400,8700300,2624406.0,90481770486.0,29
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,34375,34750,20 Jan 2020,34700,34875,34150,34175,-200,18710900,641398217500,8728,19528.6,34200,2500,34175.0,1058300,24408459900.0,24408459900.0,24408459900.0,16830800,5478500,906361.0,31015522329.0,25
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,34250,34200,17 Jan 2020,34325,34450,34000,34375,125,7649900,261939587500,7931,19642.9,34375,519800,34350.0,100,24408459900.0,24408459900.0,24408459900.0,4792400,4812900,893831.0,30560820441.0,41
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,34150,34275,22 Jan 2020,34250,34475,34175,34200,50,18862300,645964167500,6482,19542.9,34225,923800,34200.0,128400,24408459900.0,24408459900.0,24408459900.0,12600800,9332700,3420490.0,117065733741.0,20
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,34200,34425,23 Jan 2020,34300,34475,34150,34200,0,17545600,600294655000,5077,19542.9,34200,3673500,34175.0,1600,24408459900.0,24408459900.0,24408459900.0,16509200,8035300,2385064.0,81811218550.0,20
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,34200,34100,24 Jan 2020,34100,34400,34050,34050,-150,13930700,475665060000,6831,19457.1,34075,3400,34050.0,1259100,24408459900.0,24408459900.0,24408459900.0,12513300,6022700,4553461.0,155609165575.0,20
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,34050,34325,27 Jan 2020,34200,34700,34075,34200,150,7935800,272550107500,4331,19542.9,34225,1937100,34200.0,2276500,24408459900.0,24408459900.0,24408459900.0,1669800,5357800,283191.0,9670966925.0,14
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,34200,34175,28 Jan 2020,34175,34225,33775,33950,-250,16523000,562153375000,9661,19400.0,33975,20500,33950.0,425100,24408459900.0,24408459900.0,24408459900.0,12594100,4930000,7400718.0,252363016025.0,18
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,33950,34000,29 Jan 2020,34000,34225,33850,33925,-25,8764200,297619722500,6865,19385.7,33950,27800,33925.0,129200,24408459900.0,24408459900.0,24408459900.0,5246300,4396000,4467746.0,152298001850.0,14
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,33925,34225,30 Jan 2020,34175,34225,33650,33700,-225,14398000,486672252500,7736,19257.1,33700,7645000,33675.0,194700,24408459900.0,24408459900.0,24408459900.0,11593400,8191000,2696935.0,91304831350.0,10
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,33700,34000,31 Jan 2020,33875,34025,32400,32400,-1300,32627300,1069343810000,21536,18514.3,32450,400,32400.0,83400,24408459900.0,24408459900.0,24408459900.0,27657800,10632400,2866779.0,93927356000.0,22
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,32400,32400,03 Feb 2020,32375,32925,31850,32200,-200,29959400,970701642500,17303,18400.0,32200,1279200,32175.0,1021900,24408459900.0,24408459900.0,24408459900.0,24819200,10088200,1126517.0,36905408224.0,27
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,32200,32850,04 Feb 2020,32750,33100,32600,33000,800,22663300,744012655000,10410,18857.1,33000,1589200,32975.0,17500,24408459900.0,24408459900.0,24408459900.0,6326500,17864200,6642606.0,215689737840.0,30
67,BBCA,Bank Central Asia Tbk.,XDS8B3O1,33425,33475,02 Jan 2020,33475,33900,33400,33450,25,9889000,330952265000,5388,19114.3,33450,1318500,33425.0,1927900,24408459900.0,24408459900.0,24408459900.0,2010800,7649600,1997003.0,66802297950.0,28
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,33700,33550,07 Feb 2020,33525,33900,33525,33800,100,16521800,558253642500,6828,19314.3,33825,152100,33800.0,43400,24408459900.0,24408459900.0,24408459900.0,7059300,14330700,2891574.0,97531142225.0,23
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,33800,33800,10 Feb 2020,33800,33925,33150,33925,125,13315700,448548767500,7402,19385.7,33925,1744300,33825.0,200,24408459900.0,24408459900.0,24408459900.0,8423000,10260100,4021979.0,136321027275.0,25
69,BBCA,Bank Central Asia Tbk.,--S8B3O1,33925,33925,11 Feb 2020,33925,33925,33725,33900,-25,15505300,525629927500,7237,19371.4,33925,173300,33900.0,404600,24408459900.0,24408459900.0,24408459900.0,8747400,10400000,2226774.0,75181897850.0,24
70,BBCA,Bank Central Asia Tbk.,--S8B3O1,33900,34000,12 Feb 2020,34000,34000,33800,34000,100,13994300,474771935000,4526,19428.6,34000,431000,33925.0,200,24408459900.0,24408459900.0,24408459900.0,7317600,9365200,18293631.0,620585012400.0,20
70,BBCA,Bank Central Asia Tbk.,--S8B3O1,34000,34100,13 Feb 2020,34050,34100,33700,33950,-50,9947400,337236270000,5086,19400.0,33950,4393500,33925.0,3284400,24408459900.0,24408459900.0,24408459900.0,6025100,5437200,14498233.0,491832697200.0,13
70,BBCA,Bank Central Asia Tbk.,--S8B3O1,33950,33900,14 Feb 2020,33875,33975,33375,33400,-550,29405700,991164577500,7537,19085.7,33400,2013600,33375.0,136500,24408459900.0,24408459900.0,24408459900.0,26555200,10839100,1471680.0,49925356050.0,11
71,BBCA,Bank Central Asia Tbk.,--S8B3O1,33400,33400,17 Feb 2020,33425,33750,33400,33600,200,23063800,774311460000,4917,19200.0,33600,2944100,33575.0,910500,24408459900.0,24408459900.0,24408459900.0,20629400,11276600,18273213.0,611734356368.0,21
71,BBCA,Bank Central Asia Tbk.,--S8B3O1,33600,33425,18 Feb 2020,33425,33600,33350,33475,-125,19687300,659742415000,6201,19128.6,33500,100,33475.0,71900,24408459900.0,24408459900.0,24408459900.0,18732500,13105700,127710.0,4279692225.0,6
71,BBCA,Bank Central Asia Tbk.,--S8B3O1,33475,33325,19 Feb 2020,33375,33800,33325,33475,0,14918800,499517600000,4661,19128.6,33500,1009700,33475.0,23600,24408459900.0,24408459900.0,24408459900.0,9329300,10198600,550528.0,18432862021.0,12
71,BBCA,Bank Central Asia Tbk.,--S8B3O1,33475,33450,20 Feb 2020,33450,33475,32825,32975,-500,27344900,906154017500,12231,18842.9,33000,6100,32975.0,238000,24408459900.0,24408459900.0,24408459900.0,19306900,8347400,3516704.0,116834261000.0,31
71,BBCA,Bank Central Asia Tbk.,--S8B3O1,32975,33000,21 Feb 2020,33025,33300,32975,33075,100,19652200,650232782500,9859,18900.0,33200,100,33075.0,42000,24408459900.0,24408459900.0,24408459900.0,17174800,12661000,852246.0,28209435925.0,14
